key,"en","de","fr","es"
STR_ABOUT,"about","ÜBER","À PROPOS DE","SOBRE"
STR_ACCELERATION,"Acceleration","Beschleunigung","Accélération","Aceleración"
STR_ACCURACY,"Accuracy: ","Genauigkeit: ","Précision: ","Precisión: "
STR_ACCURACY_SCORE,"Accuracy bonus: ","Genauigkeitsbonus: ","Bonus de précision: ","Puntos extra por precisión: "
STR_ACHIEVEMENTS,"awards","PREISE","PRIX","galardones"
STR_ARCADE_DINOS,"Dinosaurs shot: ","Erlegte Dinosaurier: ","Dinosaures tués: ","Dinosaurios alcanzados por disparos: "
STR_ARCADE_SCORE,"YOUR SCORE IS: ","PUNKTZAHL: ","TON SCORE EST DE: ","TU PUNTUACIÓN ES: "
STR_ARCADE_SCORE_TROPHY,"The highest score: ","Hochstpunktzahl: ","Meilleur score: ","La puntuación más alta: "
STR_ARCADE_WAVES,"Waves withstood: ","Überstandene Angriffswellen: ","Vagues repoussées: ","Oleadas enfrentadas: "
STR_ARCADE_WAVES_TROPHY,"Maximum waves withstood: ","Meiste überstandene Angriffswellen: ","Nombre maximum de vagues repoussées: ","Máxima cantidad de oleadas enfrentadas: "
STR_AREA1,"Delphaeus Hills","Delphaeus-Hugel","COLLINES DE DELPHAEUS","Colinas de Delphaeus"
STR_AREA1_INFO,"The smallest island on the tour. The rolling \nhills surround an enormous bay. Impassible \nmountains make deadly traps for the \nunwary. In the center of the island is a \nlarge chasm of unknown origin, \nand the deserted remains of \nan archaeology outpost.\n\nMild difficulty.","Die kleinste aller Inseln. Sanfte Hügel schließen\neine riesige Bucht ein. Unüberwindliche Berge\nwerden leicht zu einer Todesfalle für unachtsame\nJäger. Im Zentrum der Insel befinden sich\neine tiefe Schlucht unbekannten\nUrsprungs und die verlassenen\nÜberreste einer Ausgrabungsstätte.\n\nLeichter Schwierigkeitsgrad.","La plus petite île proposée. Des collines\nentourent une immense baie. Les montagnes\ninfranchissables peuvent devenir un piège\nmortel. Au centre de l'île se trouve un\n profond gouffre d'origine inconnue et les\n ruines d'un camp archéologique\nabandonné.\n\nDifficulté intermédiaire.","Es la isla más pequeña que encontrarás en tu\nrecorrido. Las colinas ondulantes rodean a una\nbahía inmensa. Las montañas impenetrables\nse convierten en trampas mortales para\nlos cazadores incautos. En el centro de la\nisla se encuentra un abismo de origen\ndesconocido y junto a él los restos\nabandonados de un puesto\nde arqueología.\nDificultad leve."
STR_AREA2,"Fort Ciskin","Fort Ciskin","FORT CISKIN","Fuerte Ciskin"
STR_AREA2_INFO,"A good sized area consisting of dense pine\n forests encircling a murky swamp. In the\n southeast corner lies an abandoned\n settlement guarded by a towering\n \""Dinosaur Wall\"", that now lies in\n ruins from the fury of a T-Rex.\n\nMild difficulty.","Ein mittelgroßes Gebiet mit dichten\nPinienwäldern, die einen düsteren Sumpf\numschließen. Im Südöstlich liegt eine\nverlassene Siedlung mit einem imposanten\n\""Dinosaurier-Schutzwall\"", der jedoch von\neinem tobenden T-Rex verwüstet wurde.\n\nLeichter Schwierigkeitsgrad.","Une vaste région constituée d'une\n dense forêt de résineux entourant un\n marais boueux. Au Sud-est se trouve\nun camp abandonné protégé par un grand\n\""Mur anti-dinosaures\"", en ruines depuis\n qu'un tyrannosaure en colère l'a attaqué.\n\nDifficulté intermédiaire.","Es una zona de buenas proporciones formada por\ndensos bosques de pinos que rodean a un pantano\nturbio. En el rincón sudoeste del mapa yace\nun asentamiento abandonado, el cual está\ncustodiado por un gigantesco \""Muro anti-\ndinosaurios\"", que se encuentra en ruinas\ndesde el ataque de un poderoso T. rex.\n\nDificultad leve."
STR_AREA3,"Vengar Fjords","Vengar-Fjord","FJORDS DE VENGAR","Fiordos de Vengar"
STR_AREA3_INFO,"Lush pockets of vegetation, and thousands of\n inlets cover this area. This beautiful but\n treacherous piece of land includes \nan ancient volcano. Be careful when \nwandering the virtual maze of water \nand mountains created by glaciers \nmillions of years ago.\n\nIntermediate difficulty.","Dieses Gebiet ist üppig bewachsen und von\ntausenden Wasserläufen durchzogen. Ein\nschönes, jedoch trügerisches Stück Land mit\neinem alten Vulkan. Beim Durchstreifen der\nlabyrinthischen Wasserwege und Gebirge\naus der letzten Eiszeit vor Jahrmillionen\nist höchste Vorsicht geboten.\n\nMittlerer Schwierigkeitsgrad.","Cette région est constituée de poches\n de végétation luxuriante et d'innombrables\n criques. Ce territoire, magnifique mais\n dangereux, abrite également un volcan.\n Sois prudent quand tu iras t'aventurer\ndans le dédale de cours d'eau et\nde montagnes, façonné par les glaciers\nil y a des millions d'années. \n\nDifficulté intermédiaire.","Esta zona está cubierta por una vegetación\n exuberante y está llena de entradas y ensenadas.\nEste paraje es tan hermoso como traicionero,\nademás de contar con un gigantesco y\nantiguo volcán. Ten cuidado cuando\ndeambules por el laberinto virtual de\nagua y montañas creado por glaciares\nhace millones de años.\n\nDificultad intermedia."
STR_AREA4,"Manya Jungle","Manya-Dschungel","JUNGLE DE MANYA","Jungla de Manya"
STR_AREA4_INFO,"Ringed with snow-capped mountains, this \nhunting area is rumored to be a nesting \nground for some of the larger dinosaurs. \nMuddy marshes to the southwest, and \na long abandoned \""Dinosaur Wall\"" \nmake this one of the most mysterious \nareas on the tour.\n\nIntermediate difficulty.","Von diesem mit schneebedeckten Bergen\numschlossenen Jagdgebiet sagt man, es sei ein\nNistgebiet für großere Dinosaurierarten. Ein\nSumpfgebiet im Südwesten und ein längst\naufgegebener \""Dinosaurier-Schutzwall\""\nverleihen diesem Gebiet einen\nmysteriösen Flair.\n\nMittlerer Schwierigkeitsgrad.","Entourée de montagnes enneigées, il\n se dit que cette zone de chasse\n hébergerait les plus grands dinosaures.\n Un marais au Sud-est et un long\n \""Mur anti-dinosaures\"" en font l'une des\n destinations les plus\nmystérieuses de DinoHunt Corp.\n\nDifficulté intermédiaire.","Esta zona de cacería está circundada por montañas\nde cimas nevadas y se dice que aquí es donde\n hacen sus nidos los dinosaurios más grandes. Es\nuna de las zonas más misteriosas del\nrecorrido, hacia el sudoeste está\nconformada por pantanos fangosos y por\nun largo \""Muro anti-dinosaurios\""\nabandonado.\n\nDificultad intermedia."
STR_AREA5,"Mount Ravan","Ravan-Gebirge","MONT RAVAN","Monte Ravan"
STR_AREA5_INFO,"This island, broken by waterways and \nmountains is the most difficult by far. \nThe frozen peaks of Mt. Ravan overlook \na thick tropical forest that may quickly \nbecome a deadly maze where hidden \ndanger abounds. Be careful of the \nactive lavaflow to the south as well.\n\nAdvanced difficulty.","Diese bergige, von Flüssen durchzogene Insel\nist mit Abstand die schwierigste aller Inseln. Die\nverschneiten Gipfel des Ravan-Gebirges\nüberblicken ein tropisches Dickicht voller\nversteckter Gefahren, das leicht zu\neiner tückischen Falle werden kann.\nEine weitere Gefahr ist der aktive\nLavastrom im Suden.\nFortgeschrittener Schwierigkeitsgrad.","Cette île, sillonnée de voies d'eau et de\nmontagnes, est de loin la zone la plus difficile.\n Les pics glacés du mont Ravan surplombent\nle labyrinthe mortel d'une forêt \n tropicale, où les dangers abondent.\n Méfie-toi également de l'activité\nvolcanique au Sud. \n\nDifficulté avancée.","Esta isla es la que más dificultades presentará,\n gracias a sus canales navegables y a sus\nmontañas. Los picos congelados del Monte\nRavan custodian un bosque tropical muy\ndenso, que en situaciones donde abunde\nel peligro, se convertirá en un laberinto\nmortal. Al sur se encuentra un flujo\nde lava activo, ¡ten mucho cuidado!\n\nDificultad avanzada."
STR_AREA6,"Ravaren's Bridge","Ravaren-Brucke","RAVAREN'S BRIDGE","Puente de Ravaren"
STR_AREA6_INFO,"This series of islands covered with lakes and\nfrigid swamps is connected by an elevated\nbridge system. Pine trees cover this\notherwise barren area, making\ngood cover for hunter\nand prey alike.\n\nMild difficulty.","Diese Inselgruppe mit ihren Seen und eisigen\nSümpfen ist über ein Bruckensystem miteinander\nverbunden. Pinien bedecken dieses ansonsten\nöde Land und bieten sowohl Jägern\nals auch Beute gute Deckung.\n\nLeichter Schwierigkeitsgrad.","Ces îles couvertes de lacs et de marais glacés \nsont reliées entre elles par un système de ponts\nsurélevés. La zone est désolée,\nà l'exception des pins qui constituent\nun bon camouflage pour le chasseur\ncomme pour ses proies.\n\nDifficulté intermédiaire.","Esta cadena de islas está conectada por un\n sistema de puentes elevados, cada isla está\ncubierta por lagos y pantanos helados.\nLos pinos se esparcen por toda esta\nzona árida, lo que la convierte en un\n lugar beneficioso tanto para el\n cazador como para la presa.\n\nDificultad leve."
STR_AREA7,"Nibelungen Paradise","Nibelungens Paradies","NIBELUNGEN PARADIS","ParaÍso Del Nibelungo"
STR_AREA7_INFO,"An area of contrasts. Look in one direction \nand see a beautiful sandy bay. Look in \nanother - and see high mountains which \nform an almost closed circle. Clouds \ngather in this circle and make \nvisibility poor so use all your senses \nto track down the animals.\n\nAdvanced difficulty.","Eine Fläche von Kontrasten. Schauen Sie in die\neine Richtung und sehen eine schöne Sandbucht.\nSchauen Sie in anderes - und sehen hohe\nBerge, die einen nahezu geschlossenen\nKreis bilden. Wolken versammeln sich\nin diesem Kreis und machen schlechten\nSichtverhältnissen so verwenden allen\nSinnen um der Tiere zu jagden.\nFortgeschrittener Schwierigkeitsgrad.","Un espace de contrastes. Reardez dans une\ndirection et vous voyez une belle baie sableux.\nRegardez dans une autre direction et vouz voyez\nles hautes montagnes qui forment un cercle\npresque fermé. Les nuages se réunissent\ndans ce cercle et reduissent la visibilité\nalors utilisez tous vos sens pour localiser\nles animaux.\n\nDifficulté avancée.","Un área de contrastes. Mira en una dirección y ve\nuna hermosa bahía arenosa. Mira en la otra\ndirección y ve altas montañas que forman un\ncírculo casi cerrado. Las nubes se juntan y\nprovocan una visibilidad escaza por lo que\ndebes usar todos tus sentidos para\nrastrear a los animales.\n\nDificultad avanzada."
STR_AREA_MAP,"AREA MAP","GEBIETSKARTE","CARTE DE ZONE","MAPA DEL ÁREA"
STR_BACK,"back","ZURÜCK","RETOUR","VOLVER"
STR_BINOCULARS_DISTANCE,"Distance: ","Entfernung: ","Distance: ","Distancia: "
STR_BINOCULARS_WEIGHT,"Weight: ","Gewicht: ","Poids: ","Peso: "
STR_BLOOD_TRAILS,"BLOOD TRAILS","BLUTSPUREN","TRACES DE SANG","RASTROS DE SANGRE"
STR_BRIGHTNESS,"Brightness","Helligkeit","Luminosité","Brillo"
STR_UPGRADE,"upgrade","Jetzt kaufen!","Achète-le !","¡Consíguelo!"
STR_BUY_FULL_VERSION,"BUY FULL GAME TO GET ENDLESS SURVIVE!","DER ÜBERLEBENSMODUS IN DER\nVOLLVERSION IST UNBEGRENZT!","ACHÈTE LE JEU COMPLET POUR\nACCÉDER À LA SURVIE INFINIE!","¡COMPRA EL JUEGO COMPLETO PARA\nOBTENER SUPERVIVENCIA ILIMITADA!"
STR_CAMOUFLAGE_FULL,"CAMOUFLAGE","TARNUNG","CAMOUFLAGE","CAMUFLAJE"
STR_CANCEL,"Cancel","Zurück","Annuler","Cancelar"
STR_COVER_SCENT_FULL,"COVER SCENT","TARNGERUCH","COUVRE-ODEUR","MATA ESENCIA"
STR_CREDITS_ANDROID,"#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Creative Director: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProducer: Ivan Pogodichev\nProgramming: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Dementiev,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nArtwork: Michael Korshunov\nSound: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nExecutive Director: Igor Karev\n\n#5Action Forms\n#0Programming: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nArtwork: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSound: Alexey Menshikov\nBiz: Igor Karev\n\n#5Special Thanks\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAll rights reserved.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAll rights reserved.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Kreativdirektor: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProduzent: Ivan Pogodichev\nProgrammierung: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nSpieledesign: Andrey Tykhonchuk,\nDmitry Nechay\nIllustrationen: Michael Korshunov\nTon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nVerantwortlicher Direktor: Igor Karev\n\n#5Action Forms\n#0Programmierung: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIllustrationen: Yaroslav Kravchenko,\nAlexey Sergiy\nSpieledesign: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nTon: Alexey Menshikov\nBusiness: Igor Karev\n\n#5Besonderer Dank an\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAlle Rechte vorbehalten.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAlle Rechte vorbehalten.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Directeur de création: Yaroslav Kravchenko\nDirecteur artistique: Andrey Tykhonchuk\nProducteur: Ivan Pogodichev\nProgrammation: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nGraphismes: Michael Korshunov\nSon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRelations presse: Olga Voitenko\nDirecteur exécutif: Igor Karev\n\n#5Action Forms\n#0Programmation: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nGraphismes: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSon: Alexey Menshikov\nBiz: Igor Karev\n\n#5Remerciements à\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nTous droits réservés.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTous droits réservés.\n\nMoteur audio:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Director creativo: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProductor: Ivan Pogodichev\nProgramación: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nDiseño del juego: Andrey Tykhonchuk,\nDmitry Nechay\nIlustraciones: Michael Korshunov\nSonido: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRP: Olga Voitenko\nDirector ejecutivo: Igor Karev\n\n#5Action Forms\n#0Programación: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIlustraciones: Yaroslav Kravchenko,\nAlexey Sergiy\nDiseño del juego: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSonido: Alexey Menshikov\nBiz: Igor Karev\n\n#5Agradecimiento especial para\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'La saga de Carnívoros'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\niLand.ua\n\nCopyrights 2018, Tatem Games.\nTodos los derechos reservados.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTodos los derechos reservados.\n\nMotor de audio:\nFMOD Sound System by Firelight Technologies."
STR_CREDITS_FULL,"#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Creative Director: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProducer: Ivan Pogodichev\nProgramming: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Dementiev,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nArtwork: Michael Korshunov\nSound: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nExecutive Director: Igor Karev\n\n#5Action Forms\n#0Programming: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nArtwork: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSound: Alexey Menshikov\nBiz: Igor Karev\n\n#5Special Thanks\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAll rights reserved.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAll rights reserved.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Kreativdirektor: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProduzent: Ivan Pogodichev\nProgrammierung: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nSpieledesign: Andrey Tykhonchuk,\nDmitry Nechay\nIllustrationen: Michael Korshunov\nTon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nVerantwortlicher Direktor: Igor Karev\n\n#5Action Forms\n#0Programmierung: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIllustrationen: Yaroslav Kravchenko,\nAlexey Sergiy\nSpieledesign: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nTon: Alexey Menshikov\nBusiness: Igor Karev\n\n#5Besonderer Dank an\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAlle Rechte vorbehalten.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAlle Rechte vorbehalten.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Directeur de création: Yaroslav Kravchenko\nDirecteur artistique: Andrey Tykhonchuk\nProducteur: Ivan Pogodichev\nProgrammation: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nGraphismes: Michael Korshunov\nSon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRelations presse: Olga Voitenko\nDirecteur exécutif: Igor Karev\n\n#5Action Forms\n#0Programmation: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nGraphismes: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSon: Alexey Menshikov\nBiz: Igor Karev\n\n#5Remerciements à\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nTous droits réservés.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTous droits réservés.\n\nMoteur audio:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Director creativo: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProductor: Ivan Pogodichev\nProgramación: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nDiseño del juego: Andrey Tykhonchuk,\nDmitry Nechay\nIlustraciones: Michael Korshunov\nSonido: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRP: Olga Voitenko\nDirector ejecutivo: Igor Karev\n\n#5Action Forms\n#0Programación: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIlustraciones: Yaroslav Kravchenko,\nAlexey Sergiy\nDiseño del juego: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSonido: Alexey Menshikov\nBiz: Igor Karev\n\n#5Agradecimiento especial para\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'La saga de Carnívoros'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\niLand.ua\n\nCopyrights 2018, Tatem Games.\nTodos los derechos reservados.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTodos los derechos reservados.\n\nMotor de audio:\nFMOD Sound System by Firelight Technologies."
