key,"en","de","fr","es"
STR_CLOUD_PROGRESS_UNSAVED_INTERNET,"Check your Internet connection.\nYour progress won't be stored.","Überprüfe deine Internetverbindung.\nDein Fortschritt wird nicht gespeichert.","Vérifiez votre connexion Internet.\nVotre progression ne sera pas sauvegardée.","Comprueba tu conexión a Internet.\nTus progresos no se guardarán."
STR_CLOUD_PROGRESS_UNSAVED_LOGIN,"Your progress won't be stored.\nPlease sign in.","Dein Fortschritt wird nicht gespeichert.\nBitte melde dich an.","Votre progression ne sera pas sauvegardée.\nVeuillez vous connecter.","Tus progresos no se guardarán.\nInicia sesión."
STR_GOOGLE_GAMES_SIGN_IN,"[CLOUD SIGN IN]","[CLOUD-ANMELDUNG]","[CONNEXION AU CLOUD]","[INICIAR SESIÓN EN LA NUBE]"
STR_GOOGLE_GAMES_SIGN_OUT,"[CLOUD SIGN OUT]","[CLOUD-ABMELDUNG]","[DÉCONNEXION AU CLOUD]","[CERRAR SESIÓN EN LA NUBE]"
STR_REVIVE_BUTTON_TEXT,"get revive","Wiederbeleben","Ranimation","consigue Revivir"
STR_REVIVE_DESCRIPTION,"#1Revive now to continue your hunting \nsession and save your trophies!","#1Belebe dich jetzt wieder, um die Jagd\nfortzusetzen und deine Trophäen zu speichern!","#1Revenez à la vie pour continuer votre\nchasse et sauvegarder vos trophées !","¡#1Revive ahora para seguir con tu sesión de\ncaza y guardar tus trofeos!"
STR_REVIVE_NO_ADS,"#1No ads available, try again later.","#1Keine Werbung verfügbar, versuche es später noch einmal.","#1Aucune annonce disponible, réessayez plus tard.","#1No hay anuncios disponibles. Inténtalo de nuevo más tarde."
STR_REVIVE_OFFLINE,"#1Revive option requires an Internet connection.","#1Für eine Wiederbelebung ist eine\n Internetverbindung erforderlich.","#1Loption de ranimation\n nécessite une connexion Internet.","#1La opción Revivir requiere una\n conexión a Internet."
STR_REVIVE_PENALTY_TEXT,"#1Additional %d credits will be charged \nfrom current trophies rewards.","#1Es werden %d zusätzliche Credits\nvon den aktuellen Trophäen-Belohnungen abgezogen.","#1%d crédits seront ajoutés pour\nvos récompenses de trophées actuels.","#1Se cargarán %d créditos adicionales\npor las recompensas de los trofeos actuales."
STR_REVIVE_POPUP_TITLE,"INSTANT REVIVE!","SOFORTIGE WIEDERBELEBUNG!","RANIMATION INSTANTANÉE !","¡REVIVE AL INSTANTE!"
STR_ACHIEVEMENT_UNLOCKED,"Achievement unlocked","Auszeichnung freigeschaltet","Réalisation déverrouillée","Logro desbloqueado"
STR_FREE,"FREE!","KOSTENLOS!","GRATUIT !","¡GRATIS!"
STR_GET_FREE_CONTENT_TITLE,"Get %s for free!","Erhalte %s kostenlos!","Obtenez %s gratuitement !","¡Consigue %s gratis!"
STR_GET_FREE_CONTENT_DESCRIPTION,"%s for one hunt session \nfor watching video AD!","%s für eine Jagdsaison,\nwenn du dir ein Video ansiehst!","%s pour une chasse\nsi vous regardez l'annonce vidéo !","¡%s por una sesión de caza\npor ver un videoanuncio!"
STR_GET_FREE_CONTENT_GET,"GET","MEHR","OBTENIR","CONSEGUIR"
STR_GET_RELOCATE_AVAILABLE_TIME,"Relocate available\nafter %d sec.","Umsiedlung verfügbar\nnach %d Sek.","Déplacement disponible\naprès %d secondes.","Reubicación disponible\ntras %d segundos."
STR_SHOULD_PICK_UP_RESUPPLY,"Please pick up resupply package!","Bitte nimm dir dein Nachschubpaket!","Veuillez récupérer le colis de ravitaillement !","¡Recoge un paquete de suministros!"
STR_RESUPPLY_ON_THE_WAY,"Spaceship with resupply package on the way!","Raumschiff mit Nachschubpaket ist unterwegs!","Vaisseau spatial avec colis de ravitaillement en route !","¡Nave con paquete de suministros en camino!"
STR_NO_RESUPPLY_IN_WATER,"It's impossible to get resupplied in the water","Du kannst im Wasser kein Nachschub erhalten.","Cest impossible de se faire ravitailler dans leau","Es imposible reabastecerse en el agua."
STR_MOSCHOPS,"Moschops","Moschops","Moschops","Moschops"
STR_GALLIMIMUS,"Gallimimus","Gallimimus","Gallimimus","Gallimimus"
STR_DIMORPHODON,"Dimorphodon","Dimorphodon","Dimorphodon","Dimorphodon"
STR_PTERANODON,"Pteranodon","Pteranodon","Pteranodon","Pteranodon"
STR_DIMETRODON,"Dimetrodon","Dimetrodon","Dimetrodon","Dimetrodon"
STR_BRACHIOSAURUS,"Brachiosaurus","Brachiosaurus","Brachiosaurus","Brachiosaurus"
STR_PRO_BUNDLE,"PRO HUNTING BUNDLE","PROFIJÄGER-PAKET","PACK DE CHASSE PRO","LOTE DE CAZA PROFESIONAL"
STR_PRO_BUNDLE_DESCRIPTION,"Upgrade now and gain FULL access to an amazing hunting world.\nUnlock territory, powerful weapons and incredible wild animals to\ntrack and hunt.","Upgrade jetzt und erhalte VOLLEN Zugang zu einer fantastischen Welt des Jagens.\nSchalte Territorien, mächtige Waffen und unglaubliche\nwilde Tiere zum Aufspüren und Jagen frei.","Mettez le jeu à niveau et obtenez laccès COMPLET à un monde de chasse formidable.\nDéverrouillez des territoires, des armes puissantes et dincroyables\nanimaux sauvages à chasser.","Actualiza ahora y obtén acceso total a un increíble mundo de caza.\nDesbloquea territorios, armas potentes y animales salvajes fascinantes para\nperseguirlos y cazarlos."
STR_FREE_FROM_ADS,"AD FREE!","OHNE WERBUNG!","ANNONCE GRATUITE !","¡ANUNCIO GRATIS!"
STR_UPGRADE_NOW,"Upgrade Now!","Jetzt upgraden!","Mettre à niveau !","¡Actualiza ya!"
STR_PUBLISH_TROPHY," shot a %.02f tons %s with a %s in the %s%s"," hat einen %.02f-Tonnen %s mit %s in %s%s geschossen"," a tiré sur un %s de %.02f tonnes avec un(e) %s dans %s%s"," disparó a un %s de %.02f toneladas con un arma de tipo %s en %s para %s"
STR_PUBLISH_STATISTICS," set the score of %d playing Survive mode in the %s%s"," hat im Überlebensmodus %d Punkte in %s%s erzielt"," établit le score de %d dans le mode Survie de %s%s"," consiguió una puntuación de %d jugando al modo Supervivencia de %s para %s"
STR_PHOTO_CAMERA,"Photo camera","Fotokamera","Appareil photo","Cámara de fotos"
STR_REVOLVER,"Revolver","Revolver","Revolver","Revólver"
STR_REVOLVER_INFO,"This weapon is extremely powerful, but be careful\n while using a revolver since it doesnt have many\n shots, its strong recoil can affect accuracy,\n and the loud noise can scare your prey\n away drawing unwanted attention.\n\nPower: ==={ Precision: ==^^\nLoudness: ==== Firing Rate: =={^","Diese Waffe ist extrem stark, doch achte\nbeim Revolver auf die begrenzte Munition,\nden starken Rückstoß und den Lärm,\n der deine Beute verscheuchen und\n ungewollte Aufmerksamkeit\n auf dich ziehen kann.\n\nFeuerkraft: ==={ Genauigkeit: ==^^\nLautstärke: ==== Feuerrate: =={^","Cette arme est extrêmement puissante, mais\n faites attention, car elle n'a pas beaucoup\n de coups, son recul est fort et peut affecter\n la précision, et son bruit peut faire\n fuir votre proie et attirer une\n attention non désirée.\n\n\nPuissance: ==== Précision: ==^^\nBruit: ==== Cadence de tir: =={^","Esta arma es increíblemente potente,\n pero ten cuidado al usarla, ya que no tiene\n muchos disparos, su fuerte\n retroceso puede afectar a la precisión\ny el ruido puede asustar a tu presa\nal llamar su atención sin querer.\n\nPotencia: ==={ Precisión: ==^^\nRuido: ==== Tasa de disparo: =={^"
STR_SHOP_CREDITS,"CREDITS","CREDITS","CRÉDITS ","CRÉDITOS"
STR_SHOP_CREDITS_DESCRIPTION_1,"%d $ \nby watching video","%d $ \n fürs Ansehen eines Videos","%d $ \nen regardant la vidéo","%d $ \npor vídeo visto"
STR_SHOP_CREDITS_DESCRIPTION_2,"Get EVEN MORE Credits\nby completing\nsponsored offers!","Erhalte NOCH MEHR Credits,\nindem du Angebote\n von Sponsoren wahrnimmst!","Obtenez ENCORE PLUS de crédits\nen terminant\nles offres sponsorisées !","¡Consigue AÚN MÁS créditos\nal completar\nofertas patrocinadas!"
STR_SHOP_RESUPPLIES,"RESUPPLIES","NACHSCHUB","RAVITAILLEMENT","SUMINISTROS"
STR_SHOP_RESUPPLIES_DESCRIPTION_1,"%d Resupply\nby watching video","%d Nachschub\nfürs Ansehen eines Videos","%d ravitaillement(s)\nen regardant la vidéo","%d suministros\npor vídeo visto"
STR_SHOP_RESUPPLIES_DESCRIPTION_2,"Buy 1 Resupply for %s","Kaufe 1 Nachschub für %s","Acheter 1 ravitaillement pour %s","Compra 1 de suministros por %s."
STR_SHOP_RELOCATES,"RELOCATIONS","UMSIEDLUNGEN","DÉPLACEMENTS","REUBICACIONES"
STR_SHOP_RELOCATES_DESCRIPTION_1,"%d Relocation\nby watching video","%d Umsiedlung\nfürs Ansehen eines Videos","%d déplacement(s)\nen regardant la vidéo","%d de reubicación\npor vídeo visto"
STR_SHOP_RELOCATES_DESCRIPTION_2,"Buy 1 Relocation for %s","Kaufe 1 Umsiedlung für %s","Acheter 1 déplacement pour %s","Compra 1 reubicación por %s."
STR_SHOP_IAP_SMALL_PACK,"SMALL CREDITS PACK","KLEINES CREDITS-PAKET","PETIT PACK DE CRÉDITS","PAQUETE PEQUEÑO DE CRÉDITOS"
STR_SHOP_IAP_SMALL_PACK_DESCRIPTION,"\n\nGREAT FOR BEGINNERS\nto unlock new locations,\nhunt licenses and weapons.","\n\nPERFEKT FÜR EINSTEIGER\nzum Freischalten neuer Gebiete,\nJagdscheine und Waffen.","\n\nSUPER POUR LES DÉBUTANTS\npour déverrouiller\n de nouveaux lieux,\ndes permis\n de chasse et des armes.","\n\nIDEAL PARA PRINCIPIANTES,\nque podrán desbloquear\n nuevas ubicaciones,\nlicencias de caza y armas."
STR_SHOP_IAP_BIG_PACK,"BIG CREDITS PACK","GROSSES CREDITS-PAKET","GROS PACK DE CRÉDITS","PAQUETE GRANDE DE CRÉDITOS"
STR_SHOP_IAP_BIG_PACK_DESCRIPTION,"\n\nBEST VALUE\nto unlock new locations,\nhunt licenses and weapons.","\n\nTOP-ANGEBOT\nzum Freischalten neuer Orte,\nJagdscheine und Waffen.","\n\nMEILLEURE OFFRE\npour déverrouiller\n de nouveaux lieux,\ndes permis\n de chasse et des armes.","\n\nLa MEJOR OFERTA\npara desbloquear\n nuevas ubicaciones,\nlicencias de caza y armas."
STR_SHOP_IAP_LARGE_PACK,"LARGE CREDITS PACK","RIESIGES CREDITS-PAKET","TRÈS GROS PACK DE CRÉDITS","PAQUETE ENORME DE CRÉDITOS"
STR_SHOP_IAP_LARGE_PACK_DESCRIPTION,"\n\nPRO HUNTERS CHOOSE\nPump yourself up\nto the next level.\n\nBecome a pro hunter\nand prove your skills.","\n\nFÜR PROFIJÄGER\nSteige in die nächste\nJäger-Liga auf.\n\nWerde ein Profijäger\nund zeige, was du kannst.","\n\nCHOIX DES CHASSEURS PRO\nPropulsez-vous\nau niveau suivant.\n\nDevenez pro de la chasse\net faites vos preuves.","\n\nELECCIÓN PARA\n CAZADORES PROFESIONALES\nImpúlsate hasta el siguiente nivel.\n\nConviértete en un cazador profesional\ny demuestra tus habilidades."
STR_SHOP_IAP_ULTIMATE_PACK,"ULTIMATE CREDITS PACK","ULTIMATIVES CREDITS-PAKET","PACK DE CRÉDITS SUPRÊME","PAQUETE DE CRÉDITOS DEFINITIVO"
STR_SHOP_IAP_ULTIMATE_PACK_DESCRIPTION,"\n\nVIP - DINOHUNT CORP.\nBecome a VIP member\nof DinoHunt Corp.\n\nGet access to all areas,\ndinosaurs and weapons.","\n\nVIP - DINOHUNT CORP.\nWerde ein VIP-Mitglied\nvon DinoHunt Corp.\n\nErhalte Zugang zu allen Gebieten,\nDinosauriern und Waffen.","\n\nVIP - DINOHUNT CORP.\nDevenez membre VIP\nde DinoHunt Corp.\n\nObtenez laccès à toutes les zones,\ntous les dinosaures et toutes les armes.","\n\nVIP - DINOCAZA S. A.\nConviértete en un miembro VIP\nde DinoCaza S. A.\n\nConsigue acceso a todas las zonas,\ndinosaurios y armas."
STR_SHOP_IAP_MULTIPLIER,"2X MULTIPLIER","2X-MULTIPLIKATOR","MULTIPLICATEUR X2","MULTIPLICADOR X2"
STR_SHOP_IAP_MULTIPLIER_DESCRIPTION,"DOUBLE YOUR CREDITS\nfrom each dinosaur you hunt\n\nBEST SELLER \n\nThis is a one-time purchase.\nGet it once and for all.","VERDOPPLE DIE CREDITS\nfür jeden gejagten Dinosaurier\n\nBESTSELLER \n\nDies ist ein einmaliger Kauf.\nGreif sofort zu.","DOUBLEZ VOS CRÉDITS\nà chaque dinosaure chassé\n\nMEILLEURE VENTE\n\nCest un achat unique.\nObtenez-le pour de bon.","DUPLICA TUS CRÉDITOS\npor cada dinosaurio que caces.\n\nSUPERVENTAS\n\nEsta es una compra única.\nConsíguelo de una vez por todas."
STR_SHOP_WATCH_VIDEO,"WATCH VIDEO","VIDEO ANSEHEN","REGARDER LA VIDÉO","VER VÍDEO"
STR_SHOP_MORE_OFFERS,"MORE OFFERS","MEHR ANGEBOTE","PLUS DOFFRES","MÁS OFERTAS"
STR_SHOP_BUY,"BUY","KAUFEN","ACHETER","COMPRAR"
STR_SHOP_ACTIVATED,"ACTIVATED","AKTIVIERT","ACTIVÉ","ACTIVADO"
STR_UNLOCK_ITEM_DESCRIPTION,"Are you sure want to buy \n#4%s #0for #7%d$#0?","Möchtest du wirklich\n#4%s #0für #7%d$ #0kaufen?","Voulez-vous vraiment acheter \n#4%s #0 pour #7%d $ #0?","¿Seguro que quieres comprar \n#4%s #0por #7%d$#0?"
STR_BUY,"BUY","KAUFEN","ACHETER","COMPRAR"
STR_SHOP_POPUP_TEXT,"CREDITS $ ARE GIVEN\nAFTER EACH SUCCESSFUL HUNT.\n\nYOU CAN ALSO BUY CREDITS\nOR GET THEM FOR FREE IN\nTHE STORE NOW.","CREDITS $ WERDEN NACH EINER\n ERFOLGREICHEN JAGD AUSGEZAHLT.\n\nDU KANNST JETZT AUCH\nCREDITS IM SHOP KAUFEN\nODER GRATIS ERHALTEN.","LES CRÉDITS $ SONT REÇUS\nAPRÈS CHAQUE CHASSE RÉUSSIE.\n\nVOUS POUVEZ ACHETER DES CRÉDITS\nOU LES OBTENIR GRAUITEMENT\nDANS LA BOUTIQUE.","SE OTORGAN CRÉDITOS $\nTRAS CADA CAZA SATISFACTORIA.\n\nTAMBIÉN PUEDES COMPRAR CRÉDITOS\nO CONSEGUIRLOS GRATIS EN\nLA TIENDA AHORA."
STR_SHOP_POPUP_TITLE,"YOU DO NOT HAVE\nENOUGH CREDITS","DU HAST NICHT GENUG\nCREDITS","CRÉDITS\nINSUFFISANTS","NO TIENES\nSUFICIENTES CRÉDITOS."
STR_AMMO_COST,"ammo cost:","Munitionskosten:","coût de munitions :","coste de munición:"
STR_AMMO_COST_SHORT,"ammo:","Munition:","munitions :","munición:"
STR_CREDITS_EARNED,"Credits earned: ","Credits verdient: ","Crédits obtenus : ","Créditos ganados: "
STR_CREDITS_TOTAL,"Credits total: ","Credits insgesamt: ","Total crédits : ","Créditos totales: "
STR_HELP_SCORING,"scoring","Punkte","score","puntuación"
STR_RADAR_INFO,"This allows you to view the dinosaur locations on\n the map during your hunt. Please note that\n the map shows only the dinosaurs you are\n hunting. All other dinosaurs are masked.\n Non-use of the map adds %d%% to your\n total score acquired during that hunt.","Damit kannst du dir während der Jagd die\n Dino-Gebiete auf der Karte ansehen.\n Bitte beachte, dass die Karte nur die\n Dinosaurier zeigt, die du gerade jagst.\n Alle anderen Dinosaurier sind verborgen.\n Wenn du die Karte nicht benutzt,\n erhältst du für die Jagd %d%%\n mehr Punkte gutgeschrieben.","Ceci vous permet de voir où se trouvent\n les dinosaures sur la carte pendant que vous\n chassez. Veuillez noter que la carte\n affiche seulement les dinosaures que\n vous chassez. Tous les autres\n dinosaures sont masqués.\n Si vous n'utilisez pas la carte, vous\n ajoutez %d%% à votre score total\n obtenu pendant la chasse.","Esto te permitirá ver las ubicaciones de los\n dinosaurios en el mapa durante la caza.\n Ten en cuenta que el mapa solo mostrará\n a los dinosaurios que estés cazando.\n Los demás dinosaurios estarán\n enmascarados. Si no usas el mapa,\n se añadirá %d%% a la puntuación\n total que hayas conseguido\n durante esa caza."
STR_CAMOUFLAGE_INFO,"This special suit decreases the dinosaur's ability\n to detect you by sight. Use of the\n Camouflage deducts %d%% from your total\nscore acquired during that hunt.","Dieser Spezialanzug verringert die Gefahr,\nvon Dinosauriern gesehen zu werden. Wenn ihr\nTarnung benutzt, erhaltet Ihr %d %% weniger\nPunkte für die aktuelle Jagd.","Cette tenue spéciale réduit les chances\nd'un animal de te repérer visuellement.\nL'utilisation du camouflage\nréduit de %d%% les points\ngagnés lors de la chasse.","Este traje especial provocará una disminución en\nla habilidad del dinosaurio para detectarte con su\nvista. El uso del camuflaje deducirá en un %d%%\nel total de los puntos que hayas adquirido\nen esa cacería."
STR_COVER_SCENT_INFO,"This item allows you to mask your scent,\n reducing the likelihood of you\n being spotted. Use of the Cover Scent\n deducts %d%% from your total score\n acquired during that hunt.","Dieser Gegenstand verdeckt euren Geruch und\nverringert die Gefahr, entdeckt zu werden.\nWenn ihr Witterung verdecken benutzt,\nerhaltet ihr %d %% weniger Punkte für\ndie aktuelle Jagd.","Cet accessoire permet de masquer son odeur,\nce qui réduit les chances de se faire repérer.\nL'utilisation du couvre-odeur\nréduit de %d%% les points gagnés lors\nde la chasse.","Este objeto permite enmascarar tu olor, la\nesencia que los animales captan por medio del\nolfato y así reducir la posibilidad de que\nseas detectado. El uso del mata esencia\ndeducirá en un %d%% el total de los puntos\nque hayas adquirido en esa cacería."
STR_TRANQUILIZER_INFO,"Tranquilizing a dinosaur is an alternative to\n killing it. This will drop the dinosaur where it\n stands with a quick-acting drug. Use of the\n Tranquilizer adds %d%% to your total\n score acquired during that hunt.","Betäubung ist eine der Arten, einen Dinosaurier\nzu erlegen. Er wird auf der Stelle mit einem\nschnell wirkenden Mittel betäubt. Für\nden Einsatz des Betäubungsmittels\n erhaltet ihr einen Bonus von %d %% auf\neure Punkte für die aktuelle Jagd.","Endormir un animal est une alternative au fait\nde le tuer. La cible s'écroulera sur place,\nsous l'effet d'une drogue à effet rapide.\nL'utilisation du tranquillisant\naugmente de %d%% les points gagnés\nlors de la chasse.","Una alternativa para no matar al dinosaurio\nes sedarlo. De esta manera lograrás inmovilizar\na tu presa por medio de un fármaco de\nacción rápida. El uso del Tranquilizante\nincrementará en un %d%% el total de los\npuntos que hayas adquirido en esa\ncacería."
STR_OK,"OK","OK","OK","ACEPTAR"
STR_NO_DINO,"PLEASE SELECT\n A DINOSAUR","DINOSAURIER\nAUSWÄHLEN","VEUILLEZ CHOISIR\nUN DINOSAURE","ELIGE\nUN DINOSAURIO"
STR_NO_DINO_INFO,"To start exploring you need to\n select at least one dinosaur.","Du musst mindestens einen\n Dinosaurier auswählen,\n bevor du aufbrechen kannst.","Pour commencer à explorer,\n il vous faut au moins\n un dinosaure.","Para empezar a explorar,\n tienes que elegir al menos\n a un dinosaurio."
STR_NO_WEAPON,"PLEASE SELECT\n YOUR WEAPON","WAFFE\nAUSWÄHLEN","VEUILLEZ CHOISIR\nVOTRE ARME","ELIGE\nUN ARMA"
STR_NO_WEAPON_INFO,"To start hunting you need to\n select at least one weapon.","Du musst mindestens eine Waffe auswählen,\nbevor du auf die Jagd gehen kannst.","Pour commencer à chasser,\nil vous faut au moins une arme.","Para empezar a cazar, tienes que\nelegir al menos un arma."
STR_LICENSE_COST,"license cost:","Jagdschein-Kosten:","coût du permis :","coste de licencia:"
STR_OBSERVER_MODE,"#7observer mode","#7Beobachtermodus","#7mode observateur","#7modo Observador"
STR_GET_RELOCATION_IN_GAME,"You are out of Relocations! \nYou can buy it for %s or get it for free \nby watching sponsored ads!","Du hast keine Umsiedlungen mehr!\n Du kannst eine für %s kaufen oder\n eine kostenlos erhalten, wenn du\n dir eine Sponsoren-Werbung ansiehst!","Vous navez plus de Déplacements !\nVous pouvez en acheter pour %s ou en\n obtenir gratuitement en regardant\n les annonces sponsorisées !","¡Te has quedado sin reubicaciones!\n¡Puedes comprar más por %s\n o conseguirlas gratis\nviendo anuncios patrocinados!"
STR_GET_RESUPPLY_IN_GAME,"You are out of Resupplies! \nYou can buy it for %s or get it for free \nby watching sponsored ads!","Du hast keinen Nachschub mehr! \nDu kannst welchen für %s kaufen oder\n ihn kostenlos erhalten, wenn du\n dir eine Sponsoren-Werbung ansiehst!","Vous navez plus de ravitaillements !\nVous pouvez en acheter pour %s ou en\n obtenir gratuitement en regardant\n les annonces sponsorisées !","¡Te has quedado sin suministros!\n¡Puedes comprar más por %s\n o conseguirlos gratis\nviendo anuncios patrocinados!"
STR_CREDITS_RECEIVED,"You received %d $","Du hast %d $ erhalten","Vous recevez %d $","Has recibido %d $."
STR_RESUPPLY_RECEIVED,"You received a Resupply","Du hast Nachschub erhalten","Vous avez reçu un ravitaillement","Has recibido un suministro."
STR_RELOCATION_RECEIVED,"You received a Relocation","Du hast eine Umsiedlung erhalten","Vous avez reçu un déplacement","Has recibido una reubicación."
STR_GRAPHICS,"GRAPHICS","GRAFIK","GRAPHISMES","GRÁFICOS"
STR_GRAPHICS_AUTO,"AUTO","AUTOMATISCH","AUTO","AUTOMÁTICO"
STR_GRAPHICS_BEST_QUALITY,"BEST QUALITY","BESTE QUALITÄT","MEILLEURE QUALITÉ","MEJOR CALIDAD"
STR_GRAPHICS_BEST_PERFORMANCE,"BEST PERFORMANCE","BESTE LEISTUNG","MEILLEURE PERFORMANCE","MEJOR RENDIMIENTO"
STR_GRAPHICS_POWER_SAVING,"POWER SAVING","ENERGIESPAREND","ÉCONOMIE DÉNERGIE","AHORRO DE ENERGÍA"
STR_CARNIVORES_HD_MIGRATE,"Dear Hunter, please note that this version of Carnivores is no longer supported. \nThough, the new Carnivores HD is available for installation. \nIn order to save your progress, \ndon't forget to connect the game to Google Play.","Dear Hunter, please note that this version of Carnivores is no longer supported. \nThough, the new Carnivores HD is available for installation. \nIn order to save your progress, \ndon't forget to connect the game to Google Play.","Dear Hunter, please note that this version of Carnivores is no longer supported. \nThough, the new Carnivores HD is available for installation. \nIn order to save your progress, \ndon't forget to connect the game to Google Play.","Dear Hunter, please note that this version of Carnivores is no longer supported. \nThough, the new Carnivores HD is available for installation. \nIn order to save your progress, \ndon't forget to connect the game to Google Play."
STR_PRIVACY_ACCEPT,"Accept","Accept","Accept","Accept"
STR_PRIVACY_POLICY,"Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy"
STR_PRIVACY_TOU,"Terms of Use","Terms of Use","Terms of Use","Terms of Use"
STR_PRIVACY_TOU_AND_POLICY_WINDOW_TEXT,"Terms of Use and Privacy Policy","Terms of Use and Privacy Policy","Terms of Use and Privacy Policy","Terms of Use and Privacy Policy"
STR_PRIVACY_DATA_USAGE_WINDOW_TEXT,"To give you best game experience possible\nwe collect a range of data from you.\n\nIf you want to know more about what data we collect\nand how we process it, please read Privacy Policy.","To give you best game experience possible\nwe collect a range of data from you.\n\nIf you want to know more about what data we collect\nand how we process it, please read Privacy Policy.","To give you best game experience possible\nwe collect a range of data from you.\n\nIf you want to know more about what data we collect\nand how we process it, please read Privacy Policy.","To give you best game experience possible\nwe collect a range of data from you.\n\nIf you want to know more about what data we collect\nand how we process it, please read Privacy Policy."
STR_PRIVACY_DATA_USAGE_UNDERAGE,"I'm under 16","I'm under 16","I'm under 16","I'm under 16"
STR_PRIVACY_DATA_USAGE_UNDERAGE_NOTICE,"You're underage and we cannot collect your data","You're underage and we cannot collect your data","You're underage and we cannot collect your data","You're underage and we cannot collect your data"
STR_PRIVACY_DATA_USAGE_ACCEPT,"Agree","Agree","Agree","Agree"
STR_PRIVACY_DATA_USAGE_REFUSE,"Refuse","Refuse","Refuse","Refuse"
STR_PRIVACY_MENU_BUTTON,"Privacy","Privacy","Privacy","Privacy"
STR_PRIVACY_MENU_REVOKE_BUTTON,"Revoke","Revoke","Revoke","Revoke"
STR_GRASS,"GRASS","GRAS","HERBE","CÉSPED"
STR_SHOW_FPS,"SHOW FPS","FPS ANZEIGEN","AFFICHER FPS","MOSTRAR FPS"
